# DST 规则配置文件
# 格式: ISO_3166-2,开始月,开始周,开始星期,开始小时,结束月,结束周,结束星期,结束小时,偏移秒,中断开始月,中断开始日,中断开始小时,中断结束月,中断结束日,中断结束小时
# 周: A=1, B=2, C=3, D=4, E=5, 0=最后一周
# 星期: SUN, MON, TUE, WED, THU, FRI, SAT (周日=1)
# 中断: 0=无中断, NULL=代码计算

# ============================================
# 欧洲（欧盟统一规则）
# ============================================
AL,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
AD,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
AT,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
BA,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
BE,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
BG,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
CH,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
CY,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
CZ,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
DE,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
DK,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
EE,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
ES,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
FI,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
FR,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
GR,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
HR,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
HU,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
IT,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
LT,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
LU,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
LV,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
MD,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
ME,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
MK,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
MT,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
NL,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
NO,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
PL,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
PT,3,0,SUN,1,10,0,SUN,2,3600,0,0,0,0,0,0
RO,3,0,SUN,3,10,0,SUN,4,3600,0,0,0,0,0,0
RS,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
SE,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
SI,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
SK,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
UA,3,0,SUN,3,10,0,SUN,4,3600,0,0,0,0,0,0

# ============================================
# 英国及海外领地（同欧盟，小时不同）
# ============================================
GB,3,0,SUN,1,10,0,SUN,2,3600,0,0,0,0,0,0
GI,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0
IE,3,0,SUN,1,10,0,SUN,2,3600,0,0,0,0,0,0

# ============================================
# 北美（美国规则）
# ============================================
US,3,B,SUN,2,11,A,SUN,2,3600,0,0,0,0,0,0
CA,3,B,SUN,2,11,A,SUN,2,3600,0,0,0,0,0,0
BM,3,B,SUN,2,11,A,SUN,2,3600,0,0,0,0,0,0
BS,3,B,SUN,2,11,A,SUN,2,3600,0,0,0,0,0,0

# 美国不使用 DST 的州
US-AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

# 加拿大不使用 DST 的省份
CA-SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-YT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

# 墨西哥
MX-BN,3,B,SUN,2,11,A,SUN,2,3600,0,0,0,0,0,0
MX-SON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX-QTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

# ============================================
# 大洋洲
# ============================================
AU-NSW,10,A,SUN,2,4,A,SUN,3,3600,0,0,0,0,0,0
AU-VIC,10,A,SUN,2,4,A,SUN,3,3600,0,0,0,0,0,0
AU-TAS,10,A,SUN,2,4,A,SUN,3,3600,0,0,0,0,0,0
AU-SA,10,A,SUN,2,4,A,SUN,3,3600,0,0,0,0,0,0
AU-WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

NZ,9,0,SUN,2,4,A,SUN,3,3600,0,0,0,0,0,0

# ============================================
# 亚洲
# ============================================
IL,3,D,FRI,2,10,0,SUN,2,3600,0,0,0,0,0,0
LB,3,0,SUN,0,10,0,SUN,0,3600,0,0,0,0,0,0

# ============================================
# 非洲
# ============================================
MA,3,0,SUN,2,10,0,SUN,3,3600,0,0,0,0,0,0

